Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
The Gathering Storm,15.48,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Robert Jordan Brandon Sanderson,5337837,784.0,Tom Doherty AssociatesTor Books,English,9.33 x 155.96 x 34.04 Inches (US),,,1549
Shoeless Joe,12.0,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,W. P. Kinsella,5957739,272.0,Houghton Mifflin HarcourtMariner Books,English,8.25 x 139.70 x 18.85 Inches (US),,,1550
The Heart Collector,21.77,Books > Literature & Fiction > Fiction > Romance > Erotica > General,"Harris, K. Sean",,523.0,"LMH Publishing, Limited",,,,,1551
Something Wicked This Way Comes,10.62,Books > Literature & Fiction > Fiction > Classics,"Bradbury, Ray",977279,293.0,Harpercollins,English,5.25 x 7.00 x 1.50 Inches,,,1552
The Silent Corner,20.91,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"Koontz, Dean R.",5545993,452.0,Random House Inc,English,9.50 x 6.50 x 1.50 Inches,,,1553
Inside Moves,17.52,Books > Literature & Fiction > Fiction > Sports,"Walton, Todd Alexie, Sherman",988172518,180.0,Pharos Editions,English,5.57 x 0.64 x 8.22 Inches,,,1554
Doctor Who,25.49,"Books > Literature & Fiction > Fiction > Media Tie-Ins > Best seller ranking: > # > 13088 >  > in > Books > # > 531 >  > in > Books > Art, Music & Photography > # > 35 >  > in > Books > Art, Music & Photography > Performing Arts","Hearn, Marcus",2280631,320.0,Harper Design Intl,English,10.00 x 11.25 x 1.20 Inches,,4.0,1555
Turn Coat,7.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Paranormal,Jim Butcher,1462814,576.0,RocPenguin Publishing Group,English,7.50 x 4.25 x 1.19 Inches (US),,5.0,1556
Stranger in a Strange Land,8.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Alien Contact,Robert A. Heinlein,1790344,448.0,AcePenguin Publishing Group,English,6.88 x 4.13 x 1.13 Inches (US),,,1557
Vanish,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Gerritsen, Tess",1885273,441.0,Random House,English,6.00 x 4.00 x 1.00 Inches,,,1558
Running With the Demon,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"Brooks, Terry",5422581,434.0,Random House,English,6.75 x 4.25 x 1.25 Inches,,,1559
Dark Places,9.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 1010 >  > in > Books > # > 61 >  > in > Books > Literature & Fiction > # > 5 >  > in > Books > Literature & Fiction > Literary","Flynn, Gillian",7341578,349.0,Random House Inc,English,8.50 x 5.25 x 0.75 Inches,,5.0,1560
Cross the Line,16.82,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",James Patterson,6407098,400.0,"Little, Brown and Company",English,9.50 x 6.50 x 1.50 Inches (US),,4.0,1561
Hunted,4.7,Books > Literature & Fiction > Fiction > Romance > Suspense,"Eden, Cynthia",133572107X,250.0,Harlequin Books,English,7.00 x 4.00 x 0.50 Inches,,,1562
Heat Wave,7.57,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 5425 >  > in > Books > # > 449 >  > in > Books > Literature & Fiction > # > 64 >  > in > Books > Literature & Fiction > Mystery & Suspense",Richard Castle,6891412,368.0,Kingswell,English,7.50 x 4.25 x 1.00 Inches (US),,4.6667,1563
Homicide in Hardcover ,7.7,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Kate Carlisle,1226154,304.0,BerkleyPenguin Publishing Group,English,,,,1564
The Halfling's Gem,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Salvatore, R. A.",6942896,378.0,Wizards of the Coast,English,6.75 x 4.00 x 1.25 Inches,,,1565
