Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Extinction Horizon,5.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Apocalyptic & Post-Apocalyptic,Nicholas Sansbury Smith,6557994,368.0,Orbit,English,7.50 x 4.25 x 1.00 Inches,,,0
Avenging Home,13.68,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Angery American,996696016,325.0,Lightning Source Inc,English,8.00 x 5.00 x 0.50 Inches,,,1
Death's End,5.15,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,Cixin Liu,765386631,608.0,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 40.77 Inches (US),,,2
Saga 1,32.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Staples, Fiona Vaughan, Brian K.",2150783,504.0,Diamond Comic Distributors,English,8.00 x 10.00 x 1.00 Inches,,5.0,3
ORDINARY GRACE,9.01,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 8601 >  > in > Books > # > 782 >  > in > Books > Literature & Fiction > # > 53 >  > in > Books > Literature & Fiction > Literary",William Kent Krueger,1645855,336.0,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),,5.0,4
IF NOT FOR YOU,7.8,Books > Literature & Fiction > Fiction > Romance > Contemporary,"MACOMBER, DEBBIE",553391984,448.0,Random House,English,7.00 x 4.25 x 1.50 Inches,,,5
"The Cat, the Devil, and Lee Fontana",6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Murphy, Pat J. J. Rousseau, Shirley",2268829,314.0,HarperCollins,English,6.75 x 4.25 x 1.00 Inches,,,6
"LION, THE",9.93,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 26047 >  > in > Books > # > 317 >  > in > Books > Mystery & Suspense > # > 122 >  > in > Books > Mystery & Suspense > Thrillers",Nelson DeMille,6619259,576.0,Grand Central Publishing,English,7.75 x 4.25 x 1.25 Inches (US),,4.0,7
Empire of Silver,4.49,Books > Literature & Fiction > Fiction > Historical,"Iggulden, Conn",7201818,446.0,Harper Collins,,7.81 x 5.01 x 1.26 Inches,,,8
Lover Enshrined ,7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 6411 >  > in > Books > # > 102 >  > in > Books > Romance > # > 16 >  > in > Books > Romance > Paranormal,J.R. Ward,1222720,560.0,BerkleyPenguin Publishing Group,English,6.75 x 4.13 x 1.25 Inches (US),,4.8,9
Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,11.44,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,316318221,312.0,Yen PressYen On,English,,,,10
Neverwhere,12.63,Books > Literature & Fiction > Fiction > Literary,"Gaiman, Neil",62821334,435.0,HarperCollins,English,8.00 x 5.25 x 1.50 Inches,,,11
Star Trek Best Defense,7.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,David Mack,6753108,384.0,Pocket Books/Star Trek,English,6.75 x 104.78 x 25.40 Inches (US),,,12
Norse Mythology,13.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",039360909X,299.0,W W Norton &amp; Co Inc,English,8.50 x 5.75 x 1.25 Inches,,,13
Along Came a Spider (Alex Cross),6.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage > Best seller ranking: > # > 4990 >  > in > Books > # > 31 >  > in > Books > Mystery & Suspense > # > 1 >  > in > Books > Mystery & Suspense > Police Procedural",James Patterson,6364196,528.0,Grand Central Pub Mass Market,English,6.75 x 4.00 x 1.00 Inches,,,14
Straken,7.72,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",5499408,432.0,Random House,English,6.95 x 4.20 x 1.05 Inches,,,15
Lemon Tart,17.44,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Josi S. Kilpack,6410509,368.0,Shadow MountainShadow Mountain Publishing,English,8.25 x 139.70 x 1.00 Inches (US),,,16
The Path of Daggers,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Robert Jordan,2550293,704.0,Tom Doherty AssociatesTor Fantasy,English,6.76 x 104.65 x 1.56 Inches (US),,5.0,17
The Terry Pratchett Diary,20.64,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Terry Pratchett,3208336,128.0,Orion Publishing GroupGollancz,,,,,18
The Secret Speech,3.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",Tom Rob Smith,6402414,448.0,Grand Central Publishing,English,8.00 x 5.25 x 1.50 Inches (US),,,19
Armada (Paperback),15.43,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Cline, Ernest",99586746,,Cornerstone,,,,,20
The Mystery of Ireta,6.39,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"McCaffrey, Anne",5467219,480.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,,21
Wicked,6.11,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General > Best seller ranking: > # > 2598 >  > in > Books > # > 199 >  > in > Books > Literature & Fiction > # > 33 >  > in > Books > Literature & Fiction > General,"Maguire, Gregory",1350964,538.0,HarperCollins,English,7.00 x 4.00 x 1.25 Inches,,4.6,22
Zombie Survival Transport,16.82,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Alien Contact,Sean T. Page,1785211668,64.0,Haynes Publishing UK,English,,,,23
"""A"" Is for Alibi",14.53,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths",Sue Grafton,2353814,320.0,St. Martin's PressSt. Martin's Griffin,English,8.16 x 142.49 x 22.35 Inches (US),,,24
Legends and Liars,13.85,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Julia Knight,6375014,400.0,Orbit,English,8.25 x 5.50 x 1.00 Inches (US),,,25
Poison 2 (the Cartel Publications Presents),15.0,Books > Literature & Fiction > Fiction > African American,"Harris, K. D. Harris, Kd",982391307,200.0,Cartel Publications,English,5.50 x 0.60 x 8.40 Inches,,,26
Death Without Company ,11.0,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Craig Johnson,3124817,320.0,Penguin BooksPenguin Publishing Group,English,,,,27
Gone Tomorrow,18.03,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Child, Lee, Shale, Kerry",184657160X,,Cornerstone,,,,,28
Caramel Crush,6.42,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",Jenn McKinlay,9583812,304.0,BerkleyPenguin Publishing Group,English,,,,29
Rotten to the Core,7.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 71029 >  > in > Books > # > 976 >  > in > Books > Mystery & Suspense > # > 264 >  > in > Books > Mystery & Suspense > Women Sleuths",Sheila Connolly,5228768,304.0,BerkleyPenguin Publishing Group,English,,,,30
The Lord of the Rings ,60.8,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 331 >  > in > Books > # > 28 >  > in > Books > Literature & Fiction > # > 6 >  > in > Books > Literature & Fiction > Fantasy,J.R.R. Tolkien,851765X,1184.0,Houghton Mifflin Harcourt,English,9.25 x 155.57 x 2.99 Inches (US),,4.9412,31
The Couple Next Door,13.59,Books > Literature & Fiction > Fiction > Psychological,"Lapena, Shari",143284010X,435.0,Christian Large Print,,5.50 x 8.50 x 1.00 Inches,,,32
GRAND OPENING 2,13.72,Books > Literature & Fiction > Fiction > African American,"WEBER, CARL",1622866045,288.0,Kensington Pub Corp,,6.50 x 9.25 x 1.25 Inches,,,33
CANTO BIGHT (STAR WARS),16.01,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"AHMED, SALADIN",152479953X,320.0,Random House Inc,English,9.50 x 6.50 x 1.25 Inches,,,34
Dark Curse,7.18,Books > Literature & Fiction > Fiction > Romance > Paranormal > Best seller ranking: > # > 13391 >  > in > Books > # > 327 >  > in > Books > Romance > # > 70 >  > in > Books > Romance > Paranormal,Christine Feehan,514699X,464.0,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.22 Inches (US),,5.0,35
PERSONAL,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","CHILD, LEE",4178753,544.0,Random House,English,7.50 x 4.25 x 1.25 Inches,,,36
Dark Chocolate Demise,7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy > Best seller ranking: > # > 62234 >  > in > Books > # > 850 >  > in > Books > Mystery & Suspense > # > 218 >  > in > Books > Mystery & Suspense > Women Sleuths",Jenn McKinlay,5258939,304.0,BerkleyPenguin Publishing Group,English,,,,37
All Tomorrow's Parties,7.03,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Cyberpunk,William Gibson,5190441,352.0,BerkleyPenguin Publishing Group,English,,,,38
The Kremlin Conspiracy,21.61,Books > Summer Reading Books > Beach Reads,Joel C. Rosenberg,1496406176,480.0,"Tyndale House Publishers, Inc.",English,9.00 x 6.00 x 1.25 Inches,,,39
Dragons of Autumn Twilight,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, Margaret Hickman, Tracy",6915747,444.0,Wizards of the Coast,English,6.75 x 4.25 x 1.25 Inches,,,40
The High Druid's Blade,7.19,Books > Literature & Fiction > Fiction > Action & Adventure,"Brooks, Terry",5540780,370.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,,41
Is It Wrong to Try to Pick Up Girls in a Dungeon?,13.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,031631479X,288.0,Yen PressYen On,,,,,42
Hellhole Awakening,8.76,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Kevin J. Anderson Brian Herbert,5362596,672.0,Tom Doherty AssociatesTor Science Fiction,English,6.75 x 103.63 x 36.96 Inches (US),,,43
The Rise of Endymion,8.34,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Simmons, Dan",3572983,720.0,Random House,English,6.75 x 4.25 x 1.25 Inches,,,44
The Last Herald-Mage Trilogy,15.05,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Mercedes Lackey,6411387,880.0,DAW,,8.99 x 5.97 x 1.81 Inches (US),,,45
15TH AFFAIR,8.58,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",James Patterson Maxine Paetro,5585287,400.0,Grand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,,46
Star Wars,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Traviss, Karen",5478278,304.0,Random House,English,7.00 x 4.25 x 0.75 Inches,,,47
Sea of Sorrows,7.99,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Moore, James A.",1162709,351.0,Random House,English,7.00 x 4.25 x 1.00 Inches,,,48
NINE DRAGONS,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",Michael Connelly,6561953,480.0,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.00 Inches (US),,3.0,49
Kris Longknife,8.76,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Shepherd, Mike",1019562,328.0,Berkley Pub Group,English,6.75 x 4.25 x 1.00 Inches,,,50
SINNER,9.85,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GERRITSEN, TESS",1887396,432.0,Random House,English,7.75 x 4.25 x 1.25 Inches,,,51
Starship Troopers,13.6,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,Robert A. Heinlein,1014103,288.0,AcePenguin Publishing Group,English,,,,52
I Am Not a Serial Killer,9.79,Books > Literature & Fiction > Fiction > Horror,Dan Wells,5327829,272.0,Tom Doherty AssociatesTor Books,English,8.23 x 140.21 x 0.76 Inches (US),,,53
The Heat Islands,8.24,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 30914 >  > in > Books > # > 394 >  > in > Books > Mystery & Suspense > # > 74 >  > in > Books > Mystery & Suspense > General",Randy Wayne White,2929777,320.0,St. Martin's PressSt. Martin's Paperbacks,English,174.50 x 4.26 x 21.84 Millimeters,,,54
Playing Dead,7.35,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 37734 >  > in > Books > # > 57 >  > in > Books > New Releases > # > 54 >  > in > Books > New Releases > New & Noteworthy,"Brennan, Allison",550273X,472.0,Random House,English,6.75 x 4.25 x 1.00 Inches,,,55
Joust ,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,Mercedes Lackey,6401536,448.0,DAW,English,6.65 x 4.24 x 1.19 Inches (US),,,56
The Grapes of Wrath,10.15,Books > Literature & Fiction > Fiction > Classics > Best seller ranking: > # > 2480 >  > in > Books > # > 184 >  > in > Books > Literature & Fiction > # > 13 >  > in > Books > Literature & Fiction > Classics,John Steinbeck,3039439,528.0,Penguin ClassicsPenguin Publishing Group,English,,,4.5,57
A Shiver of Light,7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary > Best seller ranking: > # > 6878 >  > in > Books > # > 609 >  > in > Books > Literature & Fiction > # > 49 >  > in > Books > Literature & Fiction > Fantasy,"Hamilton, Laurell K.",5155480,400.0,Berkley Pub Group,English,7.00 x 4.25 x 1.25 Inches,,,58
SLEEPWALKER,12.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Psychological","BOHJALIAN, CHRIS",804170991,304.0,Random House Inc,English,8.00 x 5.25 x 0.50 Inches,,,59
WALLBANGER,12.6,Books > Literature & Fiction > Fiction > Romance > Contemporary,Alice Clayton,6741181,384.0,Gallery Books,English,8.25 x 5.31 x 1.20 Inches (US),,,60
The Queen of Swords,7.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Historical,R. S. Belcher,5390094,368.0,Tom Doherty AssociatesTor Books,English,239.27 x 6.47 x 1.25 Millimeters,,,61
UNLUCKY 13,8.83,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 12201 >  > in > Books > # > 116 >  > in > Books > Mystery & Suspense > # > 41 >  > in > Books > Mystery & Suspense > Women Sleuths",James Patterson Maxine Paetro,145551599X,400.0,VisionGrand Central Publishing,English,6.88 x 4.25 x 1.12 Inches (US),,,62
Gray Mountain,8.54,Books > Literature & Fiction > Fiction > Legal > Best seller ranking: > # > 1432 >  > in > Books > # > 91 >  > in > Books > Literature & Fiction > # > 12 >  > in > Books > Literature & Fiction > Mystery & Suspense,"Grisham, John",345543254,461.0,Random House,English,,,4.5,63
Warbreaker,26.16,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Brandon Sanderson,532030X,592.0,Tom Doherty AssociatesTor Books,English,9.47 x 6.46 x 46.61 Inches (US),,,64
The Cutting,11.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural","Hayman, James",2362991,442.0,HarperCollins,English,8.25 x 5.50 x 1.25 Inches,,,65
The Walt Longmire Mystery Series Boxed Set Volumes 1-4,41.81,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 2742 >  > in > Books > # > 209 >  > in > Books > Literature & Fiction > # > 29 >  > in > Books > Literature & Fiction > Mystery & Suspense",Craig Johnson,7508775,,Penguin BooksPenguin Publishing Group,English,7.14 x 5.20 x 2.90 Inches (US),,4.0,66
Things Fall Apart,7.96,Books > Literature & Fiction > Fiction > Classics,"Achebe, Chinua",8087888472,114.0,Lightning Source Inc,English,9.75 x 7.50 x 0.25 Inches,,,67
Cross Kill,5.63,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Crime > Best seller ranking: > # > 5346 >  > in > Books > # > 262 >  > in > Books > ARCHIVE > # > 69 >  > in > Books > ARCHIVE > Books Misc",James Patterson,316317144,144.0,"BookShotsLittle, Brown and Company",English,,,4.6667,68
American Gods,20.29,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Gaiman, Neil",2059889,541.0,HarperCollins,English,9.00 x 6.25 x 1.25 Inches,,,69
Skipping Christmas,7.19,Books > Literature & Fiction > Fiction > General,"Grisham, John",422964,248.0,Random House,English,7.75 x 4.25 x 0.50 Inches,,1.0,70
Pretty Girls,12.79,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General",Karin Slaughter,2499557,432.0,William Morrow &amp; Co,English,8.00 x 5.25 x 1.25 Inches,,,71
Wyrd Sisters,9.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Pratchett, Terry",2225738,360.0,HarperCollins,English,7.50 x 4.25 x 1.00 Inches,,,72
Dishonored,6.41,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Christopher, Adam",1783293055,368.0,Random House,English,4.19 x 6.88 x 8.00 Inches,,,73
Shift,9.48,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Hugh Howey,4839649,576.0,Houghton Mifflin HarcourtJohn Joseph Adams/Mariner Books,,203.20 x 5.31 x 1.42 Millimeters,,,74
CAMINO ISLAND,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","GRISHAM, JOHN",1524797154,368.0,,,,,,75
Mercy Falls,13.17,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",William Kent Krueger,9157806,368.0,Atria Books,English,8.25 x 5.31 x 22.86 Inches (US),,,76
The Big Sky,11.02,Books > Literature & Fiction > Fiction > Westerns,"Guthrie, A. B.",8154631,386.0,Houghton Mifflin Harcourt,English,5.50 x 8.00 x 1.00 Inches,,,77
Cat Sitter on a Hot Tin Roof,19.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths","Clement, Blaize",1250095352,306.0,St. Martins Press-3pl,English,5.00 x 0.69 x 7.99 Inches,,,78
"NEIGHBOR, THE",5.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 11269 >  > in > Books > # > 105 >  > in > Books > Mystery & Suspense > # > 9 >  > in > Books > Mystery & Suspense > General","GARDNER, LISA",3591901,496.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,5.0,79
When the Grits Hit the Fan,7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Day, Maddie",7739299,343.0,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,,,80
A Gathering of Secrets,26.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural",Linda Castillo,1250121310,320.0,St. Martin's PressMinotaur Books,English,,,,81
WILLIAM SHAKESPEARE'S THE JEDI DOTH RETURN,12.27,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 10412 >  > in > Books > # > 978 >  > in > Books > Literature & Fiction > # > 63 >  > in > Books > Literature & Fiction > Science Fiction,"DOESCHER, IAN",159474713X,168.0,Random House Inc,English,5.75 x 8.25 x 0.50 Inches,,5.0,82
Children of the Fleet,20.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military,Orson Scott Card,765377047,304.0,Tom Doherty AssociatesTor Books,English,9.25 x 155.57 x 1.14 Inches (US),,,83
A Game of Thrones,22.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 1596 >  > in > Books > # > 104 >  > in > Books > Literature & Fiction > # > 14 >  > in > Books > Literature & Fiction > Fantasy,"Martin, George R. R.",3103540,694.0,Random House Inc,English,9.75 x 6.50 x 1.75 Inches,,5.0,84
Neverwinter,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Salvatore, R. A.",6960276,363.0,Wizards of the Coast,English,6.75 x 4.00 x 1.25 Inches,,,85
The Good Woman,8.98,Books > Literature & Fiction > Fiction > Contemporary Women,Jane Porter,5253003,368.0,BerkleyPenguin Publishing Group,English,,,4.5556,86
ALL THE MISSING GIRLS,4.49,Books > Literature & Fiction > Fiction > Contemporary Women,Megan Miranda,1107978,400.0,Simon &amp; Schuster,,8.38 x 139.70 x 22.86 Inches (US),,,87
Acheron,7.08,Books > Literature & Fiction > Fiction > Romance > Fantasy > Best seller ranking: > # > 8506 >  > in > Books > # > 162 >  > in > Books > Romance > # > 30 >  > in > Books > Romance > Paranormal,Sherrilyn Kenyon,2949416,816.0,St. Martin's PressSt. Martin's Paperbacks,English,171.96 x 4.16 x 1.28 Millimeters,,4.9167,88
I Know a Secret,13.97,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense",Tess Gerritsen,345543882,336.0,Ballantine Books,English,10.00 x 7.00 x 1.00 Inches,,5.0,89
BEST KEPT SECRETS,7.99,Books > Literature & Fiction > Fiction > Romance > Suspense > Best seller ranking: > # > 3817 >  > in > Books > # > 292 >  > in > Books > Literature & Fiction > # > 39 >  > in > Books > Literature & Fiction > Mystery & Suspense,Sandra Brown,5550741,448.0,Grand Central Publishing,English,6.75 x 4.25 x 1.25 Inches (US),,,90
"Zombie, Illinois",16.3,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Kenemore, Scott",1616088850,381.0,Two Rivers Distribution,English,8.25 x 5.50 x 1.25 Inches,,,91
SHARP OBJECTS,9.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 1075 >  > in > Books > # > 67 >  > in > Books > Literature & Fiction > # > 7 >  > in > Books > Literature & Fiction > Mystery & Suspense","FLYNN, GILLIAN",7341557,272.0,Random House Inc,English,8.25 x 5.25 x 0.75 Inches,,4.6667,92
The Dark Tower I ,14.92,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Dark Fantasy > Best seller ranking: > # > 12950 >  > in > Books > # > 643 >  > in > Books > ARCHIVE > # > 62 >  > in > Books > ARCHIVE > Literature & Fiction,Stephen King,1143513,288.0,Scribner,,8.38 x 139.70 x 17.78 Inches (US),,5.0,93
HOPE TO DIE,10.62,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 1660 >  > in > Books > # > 113 >  > in > Books > Literature & Fiction > # > 22 >  > in > Books > Literature & Fiction > General",James Patterson,5515838,416.0,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),,4.0,94
Bed of Roses,7.58,Books > Literature & Fiction > Fiction > Romance > Contemporary,"Roberts, Nora",4133644,481.0,Christian Large Print,English,9.00 x 6.00 x 0.75 Inches,,,95
Test of the Twins,7.81,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Weis, Margaret Hickman, Tracy",6918067,330.0,Wizards of the Coast,English,7.00 x 4.25 x 1.25 Inches,,,96
The Cat Sitter and the Canary,15.07,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Cozy",John Clement Blaize Clement,51170,304.0,St. Martin's PressMinotaur Books,English,213.61 x 5.76 x 26.29 Millimeters,,,97
Off the Grid,8.49,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime",C. J. Box,9185482,400.0,Penguin Publishing GroupG.P. Putnam's Sons,English,7.56 x 4.25 x 1.00 Inches (US),,,98
Death Is a Lonely Business,11.34,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Bradbury, Ray",789652,240.0,HarperCollins,English,8.50 x 5.25 x 0.75 Inches,,,99
HEARTBREAK HOTEL,9.4,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","KELLERMAN, JONATHAN",345541456,416.0,Random House,English,7.60 x 4.20 x 1.00 Inches (US),,,100
Great Expectations,5.41,Books > Literature & Fiction > Fiction > Classics,Charles Dickens,1531180,528.0,SignetPenguin Publishing Group,English,,,,101
Shadow Prey,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Crime > Best seller ranking: > # > 9716 >  > in > Books > # > 893 >  > in > Books > Literature & Fiction > # > 126 >  > in > Books > Literature & Fiction > Mystery & Suspense",John Sandford,5208846,480.0,Penguin Publishing GroupG.P. Putnam's Sons,English,7.50 x 4.13 x 1.00 Inches (US),,,102
RUSHING WATERS,8.76,Books > Literature & Fiction > Fiction > Contemporary Women,"STEEL, DANIELLE",042528543X,384.0,Random House,English,7.50 x 4.75 x 1.00 Inches,,,103
Doctor Who,20.16,Books > Literature & Fiction > Fiction > Media Tie-Ins,"Ness, Patrick Sedgwick, Marcus Scott, Michael Colfer, Eoin Reeve, Philip",141359714,592.0,Diamond Comic Distributors,English,6.50 x 4.75 x 3.50 Inches,,,104
Dreamfever,7.19,Books > Literature & Fiction > Fiction > Romance > General > Best seller ranking: > # > 18684 >  > in > Books > # > 521 >  > in > Books > Romance > # > 97 >  > in > Books > Romance > General,"Moning, Karen Marie",244408,498.0,Random House,English,7.25 x 4.25 x 1.25 Inches,,4.6,105
The Sword of Shannara,9.43,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,"Brooks, Terry",5314254,726.0,Random House,English,7.00 x 4.50 x 1.75 Inches,,5.0,106
Gameboard of the Gods ,7.95,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,Richelle Mead,045146799X,496.0,BerkleyPenguin Publishing Group,English,6.77 x 4.14 x 1.38 Inches (US),,,107
Foundation's Edge,7.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Asimov, Isaac",329338X,480.0,Random House,English,6.75 x 4.00 x 1.00 Inches,,,108
An Echo of Things to Come,19.89,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,James Islington,316274119,752.0,Orbit,English,9.50 x 6.50 x 2.25 Inches (US),,,109
"GUILTY, THE",8.52,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General",David Baldacci,5586406,576.0,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),,,110
The Copper Scroll,13.37,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Political",Joel C. Rosenberg,4303477,384.0,"Tyndale House Publishers, Inc.",English,8.10 x 5.40 x 1.00 Inches (US),,,111
