Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
Gwendy's Button Box,12.61,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King Richard Chizmar,1501188291,176,Gallery Books; Reprint edition ,English,5.3 x 0.4 x 8.2 inches,5 ounces,4
The Dark Tower VII ,9.99,Books > Literature & Fiction > Genre Fiction,Stephen King,1501161830,1072,Pocket Books; Reissue edition ,English,4.1 x 1.9 x 7.5 inches,1 pounds,4
The Medical Examiner,4.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson Maxine Paetro,316504823,144,BookShots ,English,5 x 0.4 x 7 inches,5 ounces,4
Ursula K. Le Guin,48.56,Books > Science Fiction & Fantasy > Science Fiction,Ursula K. Le Guin,1598535374,2100,Library of America; Box edition ,English,5.4 x 2.9 x 8.5 inches,3.6 pounds,5
If I Live If I Run Series,14.32,Books > Christian Books & Bibles > Literature & Fiction,"Blackstock, Terri",310332540,352,Zondervan ,English,5.5 x 0.9 x 8.4 inches,10.9 ounces,4
The Husband's Secret Paperback ,7.48,Books > Literature & Fiction > Genre Fiction,Liane Moriarty,451490045,496,Berkley; Premium edition ,English,4.2 x 1 x 7.5 inches,8.8 ounces,4
Darker,9.25,Books > Literature & Fiction > Women's Fiction,E. L. James,385543913,560,Vintage ,English,5.2 x 0.9 x 8 inches,1.9 pounds,4
Sleeping Beauties ,22.17,Books > Literature & Fiction > Genre Fiction,Stephen King Owen King,150116340X,720,Scribner; First Edition edition ,English,6.1 x 2.1 x 9.2 inches,2.6 pounds,4
The Ultimate Hitchhiker's Guide to the Galaxy Paperback ,13.59,Books > Literature & Fiction > British & Irish,"Adams, Douglas",345453743,832,Del Rey ,English,6.1 x 1.4 x 9.2 inches,1.7 pounds,4
The Hitchhiker's Guide to the Galaxy Mass Market Paperback ,7.19,Books > Comics & Graphic Novels > Graphic Novels,"ADAMS, DOUGLAS",345391802,224,Del Rey; First Edition edition ,English,4.2 x 0.6 x 6.9 inches,1.6 ounces,4
Red Rising Paperback ,10.2,Books > Science Fiction & Fantasy > Science Fiction,"Brown, Pierce",034553980X,416,Del Rey; Reprint edition ,English,5.5 x 0.9 x 8.2 inches,9.6 ounces,4
Camino Island,12.25,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","GRISHAM, JOHN",385543026,368,Doubleday; 1st Edition edition ,English,6.4 x 1.1 x 9.5 inches,14.4 ounces,3
Chicago,17.7,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Mamet, David",62797190,332,Custom House; 1st Edition edition ,English,6 x 1.1 x 9 inches,1.1 pounds,2
The Left Hand of Darkness Mass Market Paperback ,8.99,Books > Science Fiction & Fantasy > Fantasy,Ursula K. Le Guin,441478123,352,Ace Books; 1st edition ,English,4.2 x 0.9 x 7.5 inches,5.6 ounces,4
Do Androids Dream of Electric Sheep?,12.69,Books > Comics & Graphic Novels > Graphic Novels,Philip K. Dick,345404475,256,Del Rey ,English,5.5 x 0.5 x 8.2 inches,6.4 ounces,4
The Name of the Wind Mass Market Paperback ,9.94,Books > Science Fiction & Fantasy > Fantasy,Patrick Rothfuss,756404746,736,DAW Books ,English,4.2 x 1.5 x 6.8 inches,12 ounces,4
AMERICAN GODS TV TIE IN,10.5,Books > Literature & Fiction > Action & Adventure,"GAIMAN, NEIL",62572237,576,"William Morrow Paperbacks; Anniversary, Media Tie In edition ",English,5.3 x 0.9 x 8 inches,15.2 ounces,4
Need to Know,16.47,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Cleveland, Karen",1524797022,290,Ballantine Books ,English,6.4 x 1.1 x 9.5 inches,1.2 pounds,4
Ordinary Grace Paperback ,9.01,Books > Literature & Fiction > Genre Fiction,William Kent Krueger,1451645856,336,Atria Books; Reprint edition ,English,5.3 x 0.9 x 8.2 inches,9.6 ounces,4
House of Leaves Paperback ,15.19,Books > Literature & Fiction > Genre Fiction,"Danielewski, Mark Z.",375703764,736,Pantheon; 2nd edition ,English,7 x 1.4 x 9.2 inches,2.2 pounds,4
Munich,18.27,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Harris, Robert",525520260,303,Knopf; 1st Edition edition ,English,6.6 x 1.1 x 9.5 inches,1.3 pounds,4
White Houses,17.7,Books > Literature & Fiction > Genre Fiction,"Bloom, Amy",081299566X,218,Random House ,English,6.4 x 0.8 x 9.6 inches,1 pounds,3
Grey,9.59,Books > Literature & Fiction > Women's Fiction,"JAMES, E.L.",1101946342,576,Vintage ,English,5.2 x 0.9 x 8 inches,2 pounds,4
The Keeper of Lost Things,10.84,Books > Science Fiction & Fantasy > Fantasy,"Hogan, Ruth",62473557,288,William Morrow Paperbacks; Reprint edition ,English,5.3 x 0.6 x 8 inches,7.7 ounces,4
Sword of Destiny The Witcher,14.92,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski David French,316389706,400,Orbit ,English,5.5 x 1.1 x 8.2 inches,0.8 ounces,4
Paper Girls Volume 1 Paperback ,9.99,Books > Comics & Graphic Novels > Graphic Novels,Brian K Vaughan Cliff Chiang,1632156741,144,Image Comics ,English,6.6 x 0.4 x 10.1 inches,11.2 ounces,4
The Lost World,7.99,Books > Literature & Fiction > Action & Adventure,"Crichton, Michael",345538994,432,Ballantine Books; Reprint edition ,English,4.2 x 1.1 x 7.5 inches,9.6 ounces,4
Murder on the Orient Express,7.16,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","CHRISTIE, AGATHA",62693662,304,William Morrow; Reprint edition ,English,4.2 x 0.7 x 7.5 inches,6.4 ounces,4
The Woman in the Water,19.99,"Books > Mystery, Thriller & Suspense > Mystery",Charles Finch,1250139465,320,Minotaur Books ,English,6.3 x 1.2 x 9.4 inches,1 pounds,4
The Five People You Meet in Heaven Paperback ,8.88,Books > Literature & Fiction > Genre Fiction,Mitch Albom,1401308589,208,Hachette Books; Reprint edition ,English,5.1 x 0.5 x 7.1 inches,11.2 ounces,4
Bloodline (Star Wars),8.99,Books > Science Fiction & Fantasy > Science Fiction,Claudia Gray,1101885262,432,Del Rey ,English,4.2 x 1 x 7.5 inches,7.8 ounces,4
A Game of Thrones 1,33.07,Books > Literature & Fiction > Action & Adventure,"Martin, George R. R.",553808044,880,"Bantam; Anniversary, Illustrated edition ",English,6.5 x 2.7 x 9.4 inches,3 pounds,4
The Magician's Land ,10.71,Books > Literature & Fiction > Genre Fiction,Lev Grossman,147516145,416,Penguin Books; Reprint edition ,English,5.5 x 0.9 x 8.4 inches,12 ounces,4
Life Debt,8.99,Books > Literature & Fiction > Genre Fiction,Chuck Wendig,1101966955,512,Del Rey ,English,4.2 x 1 x 7.5 inches,7 ounces,3
The Family Lawyer Paperback ,12.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,1538711338,496,Grand Central Publishing; First Edition edition ,English,5.5 x 1.4 x 8.1 inches,13.8 ounces,4
What She Knew,10.97,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Macmillan, Gilly",62413864,512,William Morrow Paperbacks ,English,5.3 x 0.8 x 8 inches,12.8 ounces,4
The Cartel 5,7.25,Books > Literature & Fiction > United States,Ashley & JaQuavis,162286736X,304,Urban Books ,English,4.2 x 1 x 6.8 inches,6.4 ounces,4
The Fast and the Furriest Second Chance Cat Mystery,6.15,"Books > Mystery, Thriller & Suspense > Mystery",Sofie Ryan,1101991224,304,Berkley ,English,4.2 x 0.8 x 6.8 inches,5.3 ounces,4
If I'm Found If I Run Series,8.79,Books > Christian Books & Bibles > Literature & Fiction,"Blackstock, Terri",310332486,384,Zondervan ,English,5.5 x 1 x 8.4 inches,11.2 ounces,4
The Good Girl,10.26,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Kubica, Mary",778317765,384,MIRA; Reprint edition ,English,5.4 x 1 x 8.2 inches,11.4 ounces,4
Mr. Mercedes,12.22,"Books > Mystery, Thriller & Suspense > Mystery",Stephen King,1476754470,560,Gallery Books; Reprint edition ,English,5.3 x 1.3 x 8.2 inches,13.6 ounces,4
THRAWN (STAR WARS),9.4,Books > Literature & Fiction > Action & Adventure,"ZAHN, TIMOTHY",1101967021,496,Del Rey; Reprint edition ,English,4.2 x 1.2 x 7.5 inches,9.3 ounces,4
Life of Pi Paperback ,10.09,Books > Literature & Fiction > Action & Adventure,Yann Martel,156027321,336,Mariner Books ,English,5.3 x 0.9 x 8 inches,7.8 ounces,4
The President Is Missing Hardcover ,23.24,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Bill Clinton James Patterson,316412694,400,"Little, Brown and Company and Knopf ",English,1.1 x 1.1 inches,1.7 pounds,nan
Golden Son,15.89,Books > Literature & Fiction > Action & Adventure,"Brown, Pierce",345539834,464,Del Rey; Reprint edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4
Uprooted,11.13,Books > Science Fiction & Fantasy > Fantasy,"Novik, Naomi",804179050,464,Del Rey; Reprint edition ,English,5.6 x 1 x 8.3 inches,12.6 ounces,4
The Last Unicorn Paperback ,13.45,Books > Comics & Graphic Novels > Graphic Novels,Peter S. Beagle,451450523,304,Ace; Reissue edition ,English,5.3 x 0.6 x 8 inches,8.5 ounces,4
"Dune Messiah The Dune Chronicles, Book 2",8.09,Books > Science Fiction & Fantasy > Fantasy,Frank Herbert,441172695,336,Ace ,English,4.2 x 0.9 x 6.9 inches,7.2 ounces,4
The Wind Through the Keyhole,9.28,Books > Literature & Fiction > Genre Fiction,Stephen King,1501166220,320,Scribner; Reprint edition ,English,5.5 x 0.7 x 8.4 inches,9.9 ounces,4
Wicked,6.34,Books > Science Fiction & Fantasy > Fantasy,"Maguire, Gregory",61350966,560,Harper; Mass Paperback Edition edition ,English,4.2 x 1.1 x 6.8 inches,8.8 ounces,3
Empire's End,6.08,Books > Science Fiction & Fantasy > Science Fiction,"WENDIG, CHUCK",110196698X,512,Del Rey; Reprint edition ,English,4.2 x 1 x 7.5 inches,6.4 ounces,3
The Girl with the Dragon Tattoo Millennium Series,7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Larsson, Stieg",307949486,672,"Vintage Crime/Black Lizard; Media Tie In, Reissue edition ",English,4.2 x 1.6 x 7.5 inches,15.2 ounces,4
Without Fail Jack Reacher,7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,515144312,608,Berkley; Reprint edition ,English,4.2 x 1.2 x 7.5 inches,11.5 ounces,4
Y is for Yesterday A Kinsey Millhone Novel,15.89,"Books > Mystery, Thriller & Suspense > Mystery",Sue Grafton,399163859,496,Marian Wood Books/Putnam; 1st Edition edition ,English,6.4 x 1.5 x 9.3 inches,1.6 pounds,4
A Dog's Purpose ,8.69,Books > Literature & Fiction > Genre Fiction,W. Bruce Cameron,765388111,336,Forge Books; Media Tie In edition ,English,5.4 x 1 x 8.3 inches,1 pounds,4
Dark Matter,15.0,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Crouch, Blake",1101904240,368,Broadway Books; Reprint edition ,English,5.2 x 0.8 x 8 inches,10.4 ounces,4
Aftermath,9.94,Books > Literature & Fiction > Genre Fiction,"WENDIG, CHUCK",1101885920,448,Del Rey; Reissue edition ,English,4.2 x 1 x 7.5 inches,8 ounces,2
A Discovery of Witches All Souls Trilogy,12.8,Books > Literature & Fiction > Genre Fiction,Deborah Harkness,143119680,592,Penguin Books; 1st edition ,English,5.5 x 1.3 x 8.5 inches,1 pounds,4
World War Z,11.48,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Max Brooks,307346617,342,Three Rivers Press; 1st edition ,English,5.2 x 0.9 x 8 inches,12 ounces,4
A Stranger in the House Hardcover ,14.65,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Shari Lapena,073522112X,320,Pamela Dorman Books ,English,6.3 x 1.1 x 9.3 inches,1.2 pounds,4
Year One ,16.45,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Nora Roberts,1250122953,432,St. Martin's Press; First Edition: December 2017 edition ,English,6.4 x 1.4 x 9.6 inches,1.3 pounds,4
CATALYST (STAR WARS),8.98,Books > Literature & Fiction > Action & Adventure,"LUCENO, JAMES",1101967005,496,Del Rey; Media Tie In edition ,English,4.2 x 1 x 7.5 inches,7.7 ounces,4
The Girl With All the Gifts Paperback ,11.55,Books > Literature & Fiction > Action & Adventure,M. R. Carey,316334758,448,Orbit; Reprint edition ,English,5.5 x 1.2 x 8.4 inches,13.6 ounces,4
The Last Command Star Wars,7.7,Books > Science Fiction & Fantasy > Science Fiction,"Zahn, Timothy",553564927,467,Bantam; 1st edition ,English,4.2 x 1.1 x 6.9 inches,9.6 ounces,4
Kindred,17.99,Books > Literature & Fiction > United States,Damian Duffy Octavia E. ButlerJohn Jennings,141970947X,264,Abrams ComicArts ,English,7 x 0.9 x 9.9 inches,2.5 pounds,4
Edge of Darkness The Cincinnati Series,6.58,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Karen Rose,399583084,640,Berkley ,English,4.2 x 1.3 x 6.8 inches,10.1 ounces,4
Shantaram ,12.81,Books > Literature & Fiction > Action & Adventure,Gregory David Roberts,312330537,944,St. Martin's Griffin; Reprint edition ,English,5.5 x 1.6 x 8.2 inches,1.6 pounds,4
Morning Star,15.64,Books > Literature & Fiction > Action & Adventure,"Brown, Pierce",345539869,544,Del Rey; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,13.6 ounces,4
The Rules of Magic,21.27,Books > Literature & Fiction > Genre Fiction,Alice Hoffman,1501137476,384,Simon & Schuster; First Edition edition ,English,6.2 x 1.1 x 9.2 inches,1.3 pounds,4
Jurassic Park,8.79,Books > Literature & Fiction > Action & Adventure,"CRICHTON, MICHAEL",345538986,464,Ballantine Books ,English,4.2 x 1.1 x 7.5 inches,8.8 ounces,4
Dark Force Rising Star Wars,7.99,Books > Science Fiction & Fantasy > Science Fiction,"Zahn, Timothy",553560719,439,Bantam Spectra Books ,English,4.2 x 1.2 x 6.9 inches,7.2 ounces,4
The Magician King ,18.32,Books > Science Fiction & Fantasy > Fantasy,Lev Grossman,452298016,432,Penguin Books; Reprint edition ,English,5.5 x 0.9 x 8.4 inches,12.6 ounces,4
Every Heart a Doorway Wayward Children,10.34,Books > Literature & Fiction > Genre Fiction,Seanan McGuire,765385503,176,Tor.com; First Edition edition ,English,5.8 x 0.7 x 8.5 inches,9.6 ounces,4
Stars of Fortune Guardians Trilogy,10.52,Books > Literature & Fiction > United States,"Roberts, Nora",425280101,336,Berkley ,English,5.6 x 0.7 x 8.2 inches,9.6 ounces,4
"The Tombs of Atuan The Earthsea Cycle, Book 2",7.48,Books > Teen & Young Adult > Science Fiction & Fantasy,Ursula  K. Le Guin,689845367,192,Aladdin Paperbacks; Reprint edition ,English,4.2 x 0.6 x 7 inches,3.4 ounces,4
The Big Sleep A Philip Marlowe Novel,13.45,"Books > Mystery, Thriller & Suspense > Mystery","Chandler, Raymond",394758285,240,Vintage Crime/Black Lizard; Reprint edition ,English,5.2 x 0.6 x 8 inches,8.8 ounces,4
Transfer of Power A Mitch Rapp Novel,7.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Vince Flynn,1439197032,672,Pocket Star; Reprint edition ,English,4.1 x 1.4 x 7.5 inches,14.4 ounces,4
End of Watch,10.19,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","King, Stephen",1501134132,613,Pocket Books; Reprint edition ,English,4.1 x 1 x 7.5 inches,12.6 ounces,4
The Dark Tower I ,14.92,Books > Literature & Fiction > Genre Fiction,Stephen King,1501143514,288,Scribner; Reprint edition ,English,5.5 x 0.7 x 8.4 inches,0.3 ounces,4
The Fellowship of the Ring ,12.66,Books > Literature & Fiction > Genre Fiction,J.R.R. Tolkien,547928211,432,Mariner Books; Reissue edition ,English,5.5 x 1 x 8.2 inches,15.2 ounces,4
The Alloy of Law,9.88,Books > Literature & Fiction > Action & Adventure,"Sanderson, Brandon",765368544,416,Tor Fantasy; Reprint edition ,English,4.2 x 1.1 x 6.8 inches,7 ounces,4
The Cold Dish ,12.8,Books > Literature & Fiction > Genre Fiction,"Johnson, Craig",143123173,400,Penguin Books; Reprint edition ,English,5.1 x 0.7 x 7.7 inches,11.2 ounces,4
16th Seduction Women's Murder Club,13.06,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,1455542660,384,Grand Central Publishing; Reprint edition ,English,5.2 x 1 x 8 inches,10.4 ounces,4
"I, Robot Paperback ",10.2,Books > Literature & Fiction > Short Stories & Anthologies,"Asimov, Isaac",055338256X,288,Spectra; Reprint edition ,English,5.5 x 0.6 x 8.2 inches,6.4 ounces,4
Welcome to Night Vale,11.19,Books > Literature & Fiction > Genre Fiction,"Cranor, Jeffrey Fink, Joseph",62351427,401,Harper Perennial; First Edition edition ,English,6 x 1.3 x 9 inches,13.6 ounces,4
Beyond Danger The Texas Trilogy,7.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","MARTIN, KAT",1420143174,384,Zebra ,English,4.1 x 1 x 6.7 inches,6.4 ounces,4
My Husband's Wife ,11.59,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Jane Corry,735220964,400,Penguin Books; Reprint edition ,English,5.4 x 0.8 x 8.4 inches,11.2 ounces,3
Gone Girl Paperback ,9.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Flynn, Gillian",307588378,422,Broadway Books; Reprint edition ,English,5.2 x 1 x 8 inches,12 ounces,4
"Shadow of Night All Souls Trilogy, Bk 2",16.29,Books > Literature & Fiction > Genre Fiction,Deborah Harkness,143123629,592,Penguin Books; Reprint edition ,English,5.5 x 1.2 x 8.5 inches,1 pounds,4
Star Wars,7.19,Books > Literature & Fiction > Action & Adventure,"KARPYSHYN, DREW",345511352,368,Del Rey; Reprint edition ,English,4.2 x 0.9 x 6.8 inches,6.4 ounces,4
The Outlandish Companion Volume Two,27.19,Books > Literature & Fiction > History & Criticism,Diana Gabaldon,385344449,608,Delacorte Press; First Edition edition ,English,7.3 x 1.7 x 9.5 inches,2.6 pounds,4
Bay of Sighs Guardians Trilogy,5.47,Books > Literature & Fiction > United States,Nora Roberts,515155918,352,Berkley; Reissue edition ,English,4.2 x 0.9 x 6.8 inches,6.1 ounces,4
The Good Daughter,12.96,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Karin Slaughter,62430246,528,William Morrow; First Edition edition ,English,6 x 1.3 x 9 inches,1.2 pounds,4
Death on the Nile,8.89,Books > Literature & Fiction > Genre Fiction,"Christie, Agatha",62073559,352,William Morrow Paperbacks; Reissue edition ,English,5.3 x 0.8 x 8 inches,1.1 pounds,4
Shadows of Self,8.76,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,765378566,464,Tor Fantasy; Reprint edition ,English,4.1 x 1.3 x 6.9 inches,5.6 ounces,4
Metro 2034 METRO by Dmitry Glukhovsky,12.9,Books > Literature & Fiction > Genre Fiction,"Glukhovsky, Dmitry",1473204305,320,Gollancz ,English,5.1 x 0.9 x 7.9 inches,3.5 ounces,4
Career of Evil A Cormoran Strike Novel,12.01,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Robert Galbraith,316349895,512,Mulholland Books; Reprint edition ,English,5.5 x 1.5 x 8.2 inches,15.2 ounces,4
The Dark Tower 8-Book Boxed Set Paperback ,96.65,Books > Literature & Fiction > Genre Fiction,Stephen King,1501163566,4720,Scribner; Boxed Set edition ,English,5.5 x 5.2 x 8.4 inches,10.3 pounds,4
Fifty Shades Freed,9.29,Books > Literature & Fiction > Women's Fiction,"JAMES, E L",9.78E+12,592,Vintage; Reprint edition ,English,5.2 x 1 x 8 inches,14.4 ounces,4
The Lady of the Lake The Witcher,13.15,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski David French,031627383X,560,Orbit ,English,5.5 x 1.5 x 8.2 inches,13.1 ounces,4
Homeland,7.19,Books > Literature & Fiction > Action & Adventure,"Salvatore, R. A.",786939532,384,Wizards of the Coast; Reprint edition ,English,4.2 x 1 x 6.8 inches,6.4 ounces,4
The Lies of Locke Lamora Gentleman Bastards,8.09,Books > Literature & Fiction > Action & Adventure,"Lynch, Scott",055358894X,736,Del Rey; Reprint edition ,English,4.2 x 1.2 x 6.9 inches,12 ounces,3
The Late Show Paperback ,14.39,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,1455524239,448,Grand Central Publishing; Reprint edition ,English,5.2 x 1.2 x 8 inches,12 ounces,4
A Canticle for Leibowitz Mass Market Paperback ,6.26,Books > Christian Books & Bibles > Literature & Fiction,"Miller, Walter M., Jr.",553273817,368,Bantam Spectra; . edition ,English,4.2 x 1 x 6.9 inches,6.4 ounces,4
The Book of Life ,16.99,Books > Literature & Fiction > Genre Fiction,Deborah Harkness,143127527,576,Penguin Books; Reprint edition ,English,5.4 x 1.2 x 8.4 inches,1 pounds,4
Strange Weather,16.99,Books > Literature & Fiction > Genre Fiction,"Hill, Joe",62663119,432,William Morrow; First Edition/First Printing edition ,English,6 x 1.4 x 9 inches,1.4 pounds,4
Come Sundown Hardcover ,16.9,Books > Literature & Fiction > Women's Fiction,Nora Roberts,1250123070,480,St. Martin's Press; First Edition / First Printing edition ,English,6.5 x 1.5 x 0.4 inches,1.5 pounds,4
Rogue Lawyer,8.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","GRISHAM, JOHN",553393480,400,Dell; Reprint edition ,English,4.2 x 0.9 x 7.5 inches,7.2 ounces,4
One Flew Over the Cuckoo's Nest Mass Market Paperback ,11.54,Books > Literature & Fiction > Genre Fiction,Ken Kesey,451163966,312,Berkley ,English,4.2 x 0.9 x 7.5 inches,7.2 ounces,4
Fifty Shades Darker Paperback ,9.29,Books > Literature & Fiction > Women's Fiction,E. L. James,345803493,544,Vintage; Reprint edition ,English,5.2 x 0.9 x 8 inches,13.6 ounces,4
Fight Club,6.32,Books > Humor & Entertainment > Humor,"Palahniuk, Chuck",393327345,224,W. W. Norton ,English,5.5 x 0.7 x 8.3 inches,6.9 ounces,4
"The Great Hunt The Wheel of Time, Book 2",7.99,Books > Science Fiction & Fantasy > Fantasy,Robert Jordan,812517725,736,Tor Fantasy ,English,4.2 x 1.6 x 6.8 inches,11.2 ounces,4
The Armored Saint The Sacred Throne,14.53,Books > Science Fiction & Fantasy > Fantasy,Myke Cole,765395959,208,Tor.com ,English,5.8 x 0.8 x 8.6 inches,10.2 ounces,4
The Third Option A Mitch Rapp Novel,8.86,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Vince Flynn,1439195129,512,Pocket Star; Reprint edition ,English,4.1 x 1 x 7.5 inches,12 ounces,4
The Concrete Blonde A Harry Bosch Novel,9.32,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Connelly,1455550639,560,Grand Central Publishing; Reprint edition ,English,4.2 x 1.2 x 7.5 inches,9.9 ounces,4
The Black Book Paperback ,9.3,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",David Ellis James Patterson,1455542679,448,Grand Central Publishing; Reprint edition ,English,5.2 x 1.1 x 8 inches,15.2 ounces,4
Lords of the Sith,9.28,Books > Literature & Fiction > Genre Fiction,"KEMP, PAUL S.",034551145X,368,Del Rey ,English,4.2 x 0.9 x 7.5 inches,12.6 ounces,4
A Memory of Light Wheel of Time,8.99,Books > Literature & Fiction > Action & Adventure,"Sanderson, Brandon Jordan, Robert",765364883,1168,Tor Fantasy ,English,4 x 2 x 6.7 inches,1.2 pounds,4
Fort Solitude DC Comics,11.37,Books > Children's Books > Growing Up & Facts of Life,Derek Fridolfs Dustin Nguyen,545876842,176,Scholastic Inc. ,English,5.5 x 0.5 x 8.2 inches,8.5 ounces,4
The Girl Who Kicked the Hornet's Nest Millennium Series,8.74,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","Larsson, Stieg",307742539,832,Vintage Crime/Black Lizard; Reprint edition ,English,4.2 x 1.4 x 7.5 inches,1 pounds,4
Find Her Detective D. D. Warren,8.49,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,451477162,464,Dutton; Reprint edition ,English,4.2 x 1 x 7.6 inches,8.8 ounces,4
ORIGIN (EN ESPANOL),20.06,Books > Literature & Fiction > Action & Adventure,"BROWN, DAN",525434291,496,Vintage Espanol ,Spanish,6.6 x 1.6 x 9.5 inches,1.8 pounds,4
"Rainbow Six John Clark Novel, A",8.21,Books > Literature & Fiction > Action & Adventure,Tom Clancy,9.78E+12,912,Berkley ,English,4.2 x 1.4 x 6.9 inches,14.4 ounces,4
11/22/63,18.68,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1451627297,880,Gallery Books; Paperback Edition edition ,English,6 x 2.1 x 9 inches,2.5 pounds,4
The Family Business 4,12.5,Books > Literature & Fiction > United States,"Weber, Carl",1622867661,300,Urban Books ,English,6.2 x 1 x 9.3 inches,15.8 ounces,4
The Sword of Shannara Mass Market Paperback ,9.43,Books > Literature & Fiction > Action & Adventure,"Brooks, Terry",345314255,736,Del Rey; Reissue edition ,English,4.2 x 1.6 x 6.8 inches,13.6 ounces,3
The Mists of Avalon Paperback ,14.68,Books > Literature & Fiction > Genre Fiction,"Bradley, Marion Zimmer",345350499,912,Del Rey; 1st edition ,English,6.1 x 1.6 x 9.2 inches,1.8 pounds,4
The Philosopher's Flight,20.34,Books > Science Fiction & Fantasy > Fantasy,Tom Miller,1476778159,432,Simon & Schuster ,English,6 x 1.2 x 9 inches,1.3 pounds,4
The Walt Longmire Mystery Series Boxed Set Volumes 1-4 Walt Longmire Mysteries,47.5,"Books > Mystery, Thriller & Suspense > Mystery",Craig Johnson,147508770,1392,Penguin Books; Box edition ,English,5.2 x 2.6 x 8 inches,2.2 pounds,4
Metro 2033,15.28,Books > Science Fiction & Fantasy > Science Fiction,"Glukhovsky, Dmitry",1481845705,460,CreateSpace Independent Publishing Platform ,English,6 x 1.2 x 9 inches,1.7 pounds,4
After You ,11.06,Books > Literature & Fiction > Women's Fiction,Jojo Moyes,143108867,400,Penguin Books; Reprint edition ,English,5.4 x 0.7 x 8.4 inches,14.4 ounces,4
The Final Day ,6.47,Books > Literature & Fiction > Action & Adventure,William R. Forstchen,076537675X,480,Forge Books; Reprint edition ,English,4.2 x 1.1 x 6.7 inches,10.6 ounces,4
Supernatural,9.85,Books > Literature & Fiction > Genre Fiction,"Navarro, Yvonne",62103377,330,It Books; Original edition ,English,5 x 0.7 x 8 inches,9.1 ounces,4
The First Law Trilogy Paperback ,28.45,Books > Literature & Fiction > Genre Fiction,Joe Abercrombie,316361194,1680,Orbit ,English,6 x 4.8 x 9.2 inches,4.3 pounds,4
One Perfect Lie Paperback ,13.58,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Scottoline,1250099579,400,St. Martin's Griffin; Reprint edition ,English,5.6 x 1 x 8.3 inches,11.4 ounces,4
Personal,8.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense","CHILD, LEE",804178755,544,Dell; Reissue edition ,English,4.3 x 1.3 x 7.5 inches,10.4 ounces,3
Words of Radiance,9.98,Books > Literature & Fiction > Action & Adventure,Brandon Sanderson,765365286,1328,Tor Fantasy ,English,4.2 x 2.1 x 6.8 inches,1.3 pounds,4
The Bear and the Nightingale,11.0,Books > Literature & Fiction > Action & Adventure,"Arden, Katherine",1101885955,368,Del Rey; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,9.6 ounces,4
Baptism of Fire The Witcher,13.71,Books > Literature & Fiction > Genre Fiction,Andrzej Sapkowski David French,316219185,400,Orbit ,English,5.5 x 1 x 8.2 inches,13.6 ounces,4
Sword Art Online Progressive The Novel 2,12.53,Books > Literature & Fiction > World Literature,Reki Kawahara,316371246,256,Yen On ,English,5.5 x 0.8 x 8.4 inches,7.2 ounces,4
