Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating
Feverborn,7.19,Books > Science Fiction & Fantasy > Fantasy,"Moning, Karen Marie",440246431,464,Dell; Reprint edition ,English,4.2 x 1 x 6.9 inches,11.4 ounces,4
Bound Together A Sea Haven Novel,7.51,Books > Literature & Fiction > Women's Fiction,Christine Feehan,399583939,416,Berkley ,English,4.2 x 1 x 6.8 inches,14.1 ounces,4
Montana Heat,7.99,Books > Literature & Fiction > United States,"RYAN, JENNIFER",62645285,384,Avon ,English,4.2 x 1 x 6.6 inches,11.7 ounces,4
The Garden of Small Beginnings Paperback ,10.6,Books > Literature & Fiction > Genre Fiction,Abbi Waxman,399583580,368,Berkley ,English,5.3 x 0.9 x 8 inches,8 ounces,4
This Man Confessed A This Man Novel,14.21,Books > Literature & Fiction > Genre Fiction,Jodi Ellen Malpas,1455578363,544,Forever; Reprint edition ,English,5.2 x 1.5 x 8 inches,15.2 ounces,4
Rushing Waters,8.76,Books > Literature & Fiction > Genre Fiction,"STEEL, DANIELLE",042528543X,384,Dell; Reprint edition ,English,4.2 x 1 x 6.9 inches,13.4 ounces,4
One Day at a Time,5.99,Books > Literature & Fiction > Genre Fiction,"Steel, Danielle",440243335,416,Dell; Reprint edition ,English,4.2 x 1.1 x 6.9 inches,2.4 ounces,4
Sweetbriar Cottage Paperback ,8.79,Books > Christian Books & Bibles > Literature & Fiction,"Hunter, Denise",718090489,320,Thomas Nelson ,English,5.4 x 0.8 x 8.3 inches,9.6 ounces,4
Dead in the Family Sookie Stackhouse/True Blood,5.99,"Books > Mystery, Thriller & Suspense > Mystery",Charlaine Harris,1402217080,368,Ace; Reprint edition ,English,4.1 x 1 x 6.8 inches,6.4 ounces,3
Taking Catie The Temptation Saga,10.19,Books > Literature & Fiction > United States,"Hardt, Helen",1943893284,222,Waterhouse Press ,English,5.3 x 0.6 x 8 inches,10.4 ounces,4
Fifty Shades Trilogy,38.83,Books > Literature & Fiction > Women's Fiction,"JAMES, E L",525563334,1680,Vintage; Media Tie In edition ,English,5.2 x 3 x 9 inches,2.6 pounds,5
Notorious Nineteen,6.71,Books > Literature & Fiction > United States,Janet Evanovich,345527763,320,Bantam ,English,4.2 x 0.8 x 6.9 inches,5.6 ounces,4
When We Meet,6.52,Books > Romance > Contemporary,"ROBERTS, NORA",373282494,480,Silhouette; Combined edition ,English,4.1 x 1.2 x 6.6 inches,7.7 ounces,4
Misadventures of a Good Wife Misadventures Series,9.99,Books > Literature & Fiction > United States,"Hardt, Helen Wild, Meredith",1943893462,205,Waterhouse Press ,English,6 x 1 x 8.2 inches,10.6 ounces,4
Frost Burned Mercy Thompson,7.99,Books > Literature & Fiction > Action & Adventure,Patricia Briggs,044102002X,320,Ace; Reprint edition ,English,4.2 x 0.8 x 6.8 inches,9.9 ounces,4
The Complete Novels of Jane Austen Knickerbocker Classics,25.78,Books > Literature & Fiction > World Literature,"Austen, Jane",193799418X,1232,Race Point Publishing; First edition ,English,6.8 x 2.8 x 10 inches,4.8 pounds,4
Takedown Twenty Stephanie Plum,7.19,Books > Literature & Fiction > United States,Janet Evanovich,345542894,352,Bantam; Reissue edition ,English,4.1 x 0.9 x 6.8 inches,6.4 ounces,4
If Not for You,7.8,Books > Literature & Fiction > Genre Fiction,"MACOMBER, DEBBIE",553391984,448,Ballantine Books; Reprint edition ,English,4.3 x 1.2 x 6.9 inches,8 ounces,4
Hidden Heart,5.98,Books > Romance > Contemporary,"ROBERTS, NORA",037328246X,400,Silhouette ,English,4.1 x 1 x 6.6 inches,12.8 ounces,4
Me Before You and After You Boxed Set Paperback ,24.55,Books > Literature & Fiction > Women's Fiction,Jojo Moyes,143131001,800,Penguin Books; Reprint edition ,English,5.6 x 1.9 x 8.6 inches,1.8 pounds,4
My Everything,5.38,Books > Romance > Contemporary,"McLaughlin, Heidi",615788084,88,Heidi McLaughlin ,English,6 x 0.2 x 9 inches,6.4 ounces,4
Night Broken A Mercy Thompson Novel,7.99,Books > Literature & Fiction > Action & Adventure,Patricia Briggs,425256278,304,Ace; Reprint edition ,English,4.2 x 0.8 x 6.8 inches,5.6 ounces,4
Dead Heat Alpha and Omega,7.49,Books > Science Fiction & Fantasy > Fantasy,"BRIGGS, PATRICIA",425256286,336,Ace; Reissue edition ,English,4.1 x 0.8 x 6.8 inches,5.6 ounces,4
An Engagement in Seattle,5.98,Books > Literature & Fiction > United States,"MACOMBER, DEBBIE",778331113,464,MIRA ,English,4.1 x 1.2 x 6.6 inches,7.7 ounces,4
My Kind of Forever The Beaumont Series,12.59,Books > Romance > Contemporary,"McLaughlin, Heidi",990678849,352,Heidi McLaughlin ,English,5 x 0.8 x 8 inches,1 pounds,4
Curious Minds,6.7,Books > Literature & Fiction > United States,Janet Evanovich Phoef Sutton,553392700,336,Bantam; Reprint edition ,English,4.3 x 0.9 x 6.9 inches,7 ounces,4
Apprentice in Death Mass Market Paperback ,6.79,"Books > Mystery, Thriller & Suspense > Mystery",J. D. Robb,1101987995,352,Berkley; Reprint edition ,English,4.2 x 0.9 x 6.8 inches,5.6 ounces,4
Blood Magick The Cousins O'Dwyer Trilogy,5.98,Books > Literature & Fiction > United States,Nora Roberts,515152919,336,Berkley; Reprint edition ,English,4.2 x 0.9 x 6.8 inches,1.8 ounces,4
Shadow Spell The Cousins O'Dwyer Trilogy,7.39,Books > Literature & Fiction > United States,Nora Roberts,515152900,336,Berkley; Reprint edition ,English,4.2 x 0.8 x 6.8 inches,5.6 ounces,4
"Bone Crossed Mercy Thompson, Book 4",6.8,Books > Literature & Fiction > Action & Adventure,Patricia Briggs,044101836X,304,Ace; Reprint edition ,English,4.2 x 0.9 x 6.7 inches,5 ounces,4
Sylvia Day Crossfire Series 4-Volume Boxed Set ,42.48,Books > Literature & Fiction > Erotica,Sylvia Day,425282333,1,Berkley; Box edition ,English,5.5 x 3.8 x 8.4 inches,2.8 pounds,4
Shadow Reaper A Shadow Riders Novel,5.39,Books > Literature & Fiction > United States,Christine Feehan,399583955,400,Berkley; Original edition ,English,4.2 x 1.1 x 6.8 inches,6.4 ounces,4
Fairytale,16.33,Books > Literature & Fiction > Genre Fiction,"Steel, Danielle",1101884061,288,Delacorte Press ,English,6.3 x 1.1 x 9.6 inches,1.2 pounds,4
Misadventures on the Night Shift Misadventures Series,9.33,Books > Literature & Fiction > United States,"Rowe, Lauren",1943893438,280,Waterhouse Press ,English,5.5 x 0.8 x 8 inches,13.6 ounces,4
His Secret Son The Westmoreland Legacy,3.21,Books > Literature & Fiction > United States,"Jackson, Brenda",373838840,224,Harlequin Desire ,English,4.1 x 0.6 x 6.6 inches,3.8 ounces,4
Misadventures of a College Girl Misadventures Series,11.69,Books > Literature & Fiction > United States,"Rowe, Lauren",1947222996,280,Waterhouse Press ,English,5.2 x 0.8 x 8 inches,9.4 ounces,4
HALO,13.25,Books > Science Fiction & Fantasy > Science Fiction,Tobias S. Buckell,150113261X,448,Gallery Books ,English,5.3 x 1.1 x 8.2 inches,11.4 ounces,4
Calendar Girl,10.59,Books > Literature & Fiction > Women's Fiction,"Carlan, Audrey",1943893047,408,Waterhouse Press ,English,5.2 x 0.9 x 8 inches,12.6 ounces,4
Iced,7.99,Books > Science Fiction & Fantasy > Fantasy,"Moning, Karen Marie",440246415,512,Dell; Reissue edition ,English,4.2 x 1.1 x 6.9 inches,5 ounces,4
A Girl's Guide to Moving On,6.28,Books > Literature & Fiction > Genre Fiction,"MACOMBER, DEBBIE",553391941,432,Ballantine Books ,English,4.2 x 1.2 x 6.9 inches,7.2 ounces,4
My Unexpected Forever The Beaumont Series,13.49,Books > Romance > Contemporary,"McLaughlin, Heidi",989373835,380,Heidi McLaughlin; 2 edition ,English,5 x 0.9 x 8 inches,1.1 pounds,4
A Rule Against Murder,9.98,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,312614160,336,Minotaur Books; Reprint edition ,English,5.5 x 0.9 x 8.3 inches,11.2 ounces,4
The Cruelest Month,14.06,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,312573502,320,Minotaur Books; Reprint edition ,English,5.5 x 0.8 x 8.2 inches,7.2 ounces,4
