Name,Sale Price,Category,Author,ISBN10,Pages,Publisher,Language,Dimensions,Weight,Rating,id
Black Diamond Obsidian,12.99,Books > Romance > Contemporary,Victoria Quinn,154328180X,306.0,CreateSpace Independent Publishing Platform ,English,5.2 x 0.7 x 8 inches,10.4 ounces,4.8,2713
Devil in Tartan The Highland Grooms,7.19,Books > Romance > Historical,Julia London,1335629408,384.0,HQN ,English,4.2 x 1 x 6.5 inches,6.6 ounces,4.3,2714
Between Sisters,13.6,Books > Literature & Fiction > Genre Fiction,Kristin Hannah,345519469,480.0,Ballantine Books; Reprint edition ,English,5.2 x 1.1 x 8 inches,12.8 ounces,4.5,2715
The Girl Who Came Home,9.55,Books > Literature & Fiction > Genre Fiction,Hazel Gaynor,62316869,362.0,William Morrow Paperbacks; First Edition edition ,English,5.3 x 0.9 x 8 inches,10.4 ounces,4.5,2716
Something Borrowed,8.45,Books > Literature & Fiction > Women's Fiction,Emily Giffin,312321198,352.0,St. Martin's Griffin ,English,5.5 x 1 x 8.2 inches,11.2 ounces,4.1,2717
Surrender,7.56,Books > Literature & Fiction > Genre Fiction,Joan Johnston,399177760,416.0,Dell ,English,4.2 x 1.1 x 6.9 inches,7 ounces,4.7,2718
"Red Lily In the Garden, Book 3",5.99,Books > Literature & Fiction > Short Stories & Anthologies,Nora Roberts,515139408,384.0,Berkley ,English,4.2 x 1 x 6.8 inches,6.4 ounces,4.6,2719
orange,9.2,Books > Teen & Young Adult > Literature & Fiction,Ichigo Takano,1626927790,180.0,Seven Seas ,English,5.1 x 0.6 x 7.3 inches,6.4 ounces,4.4,2720
Finger Prints,10.39,Books > Literature & Fiction > Genre Fiction,Barbara Delinsky,006269202X,496.0,William Morrow Paperbacks; Reprint edition ,English,5.3 x 1.1 x 8 inches,12 ounces,4.2,2721
Secrets of the Lighthouse,8.48,Books > Literature & Fiction > Women's Fiction,Santa Montefiore,1476735387,480.0,Simon & Schuster; Reprint edition ,English,5.5 x 1.1 x 8.4 inches,8.5 ounces,4.3,2722
Silver Thaw Mass Market Paperback ,6.79,Books > Literature & Fiction > Genre Fiction,Catherine Anderson,451418344,432.0,Berkley ,English,4.2 x 1.2 x 6.8 inches,7.2 ounces,4.5,2723
The Stranger from the Sea Poldark,11.92,Books > Literature & Fiction > Genre Fiction,Winston Graham,330463381,512.0,Pan Macmillan; Unabridged edition edition ,English,5 x 1.5 x 7.5 inches,12 ounces,4.5,2724
